project,current_url,current_claim,evidence_pointer,evidence_date,factual_grade,public_reuse_status,exact_allowed_wording,required_consent,disposition
Risen Sun Solar & Roofing,/portfolio/case-studies/risen-sun-solar-roofing.html,"'3 disciplines / Custom / In-House' — structural counts and factual delivery framing; no revenue/lead/ROAS number.",Owner is Blaine McKenzie; product is publicly live at gorisensun.com,2026-08-14,Verified structural claim,Own asset — public reuse OK,"'Full brand identity, custom React/Vite site at gorisensun.com, and a GoHighLevel back-end for lead capture and follow-up automation — designed, built, and operated in-house.'",Not required (own property),KEEP AS-IS. Do NOT reintroduce lead-generation performance / conversion / dollar / ROI claims from prior drafts.
Risen Sun (Branding / Website / Strategy sub-pages),"/portfolio/case-studies/risen-sun-solar-roofing-{branding,website,strategy}.html","Discipline-specific detail pages; must not add outcome numbers.",Same owner,2026-08-14,Verified structural claim,Own asset,Discipline-level 'we built' wording only.,Not required,KEEP; audit for any outcome number before publish. None present at review time.
Trust Energy,/portfolio/case-studies/trust-energy.html,"'$25 cost per lead vs $40-$50 industry CPL' • '1:4 lead-to-appointment conversion ratio' • '4yr continuous engagement'","No approved public proof record. Proof registry seed shows ZERO externally approved claims.",2026-08-14,UNVERIFIED for public reuse,QUARANTINE,"Neutral factual copy only: 'Full-stack engagement covering brand, website, video, and marketing operations.' Do not publish CPL, conversion, or ROAS figures without an immutable proof record from the client.",Written reuse approval required before any numeric claim is published,QUARANTINE the three numeric outcome tiles; replace with factual delivery-and-tenure copy. Retain URL to preserve SEO. Not featured on the homepage or new pillar hubs.
Trust Energy (sub-pages),"/portfolio/case-studies/trust-energy-{branding,marketing,social,video}.html",Discipline detail pages; may inherit numbers,Same,2026-08-14,Same as above,QUARANTINE numeric outcomes,Discipline-level 'we built' wording only.,Same,KEEP URLs; audit any numeric outcome and neutralize when present.
Net Metering Systems,/portfolio/case-studies/net-metering-systems.html,"'$50 avg CPL on paid social' • '25% lead-to-appointment' • '5x ROAS' • '12 active CRM automations'",No approved public proof record. Numbers are current-owner (Blaine) operated but not client-approved for external RA marketing.,2026-08-14,UNVERIFIED for public reuse,QUARANTINE,"Neutral factual copy only: 'Multi-discipline engagement — brand, website, video, social, SEO, and marketing operations — with paid-social and CRM/sales-automation systems in production.' Retain the '12 automations' count only if a screenshot of the live workflow list is attached as evidence at publish time.",Written reuse approval required for CPL / conversion / ROAS figures,QUARANTINE the three performance tiles; replace with factual delivery and system-scope copy. Retain URL.
NMS (sub-pages),"/portfolio/case-studies/net-metering-systems-{marketing,seo,social,strategy,video,website}.html",Discipline detail pages,Same,2026-08-14,Same,QUARANTINE numerics,Discipline-level 'we built' only.,Same,KEEP URLs; audit and neutralize any numeric outcome inheritance.
Reservwise,/portfolio/case-studies/reservwise.html,"'5 disciplines / 3 distinct web surfaces / In-House' — structural counts only",Owner is Blaine McKenzie; product is publicly reachable,2026-08-14,Verified structural claim,Own asset,'Brand identity, marketing site, product app, and support surfaces designed and built by Revelation.',Not required (own property),KEEP AS-IS. No outcome-number claim present. Feature safely on Sales pillar as evidence of built infrastructure — not as revenue outcome.
Reservwise (sub-pages),"/portfolio/case-studies/reservwise-{branding,strategy,website,app,sales-infra}.html",Discipline detail,Same,2026-08-14,Verified structural,Own asset,Discipline-level 'we built' wording,Not required,KEEP; audit at publish time.
Wealth Coach 360 (Bill Gerard),/portfolio/case-studies/wealth-coach-360.html,"'60+ videos / 6 disciplines / Flagship' — structural + descriptive",Client is Bill Gerard; publicly attributed on prior sites,2026-08-14,Verified structural + factual role,Public reuse OK where prior public attribution exists — no NEW outcome number,Discipline-level 'we built' wording only.,Prior public attribution stands; do NOT add NEW performance numbers,KEEP; do not add new numeric outcome claims.
Wealth Coach 360 (sub-pages),"/portfolio/case-studies/wealth-coach-360-{branding,strategy,website,app}.html",Discipline detail,Same,2026-08-14,Verified structural,Public reuse OK,Discipline-level 'we built' wording,None new,KEEP.
Bill Gerard Coaching,/portfolio/case-studies/bill-gerard-coaching.html,Discipline detail,Bill Gerard — public brand,2026-08-14,Verified,Public reuse OK,'We built brand identity for Bill Gerard Coaching.',Prior public attribution stands,KEEP.
The Whole Vine,"/portfolio/case-studies/the-whole-vine{,-marketing,-social,-video,-website}.html",Multi-discipline delivery,Public client,2026-08-14,Verified delivery,Public reuse OK,'We shipped web/video/social/marketing for The Whole Vine.',Prior public attribution stands,KEEP; verify no outcome number added.
Excel Sign Company,/portfolio/case-studies/excel-sign-company.html,Website delivery,Owned/operated relationship (Blaine),2026-08-14,Verified,Own network,'We built the Excel Sign Company website.',Not required,KEEP.
Infinite Heating & Cooling,"/portfolio/case-studies/infinite-heating-cooling{,-branding,-website}.html",Multi-discipline delivery,Client asset,2026-08-14,Verified structural,Public reuse OK,Discipline-level 'we built' wording only,Prior public attribution stands,KEEP.
Infinite Roofing Solutions,"/portfolio/case-studies/infinite-roofing-solutions{,-branding,-marketing,-video}.html",Multi-discipline,Client,2026-08-14,Verified structural,Public reuse OK,'We built brand/marketing/video systems for Infinite Roofing Solutions.',Prior public attribution stands,KEEP.
AMS Energy Solutions,"/portfolio/case-studies/ams-energy-solutions{,-branding,-website}.html",Brand + web delivery,Client,2026-08-14,Verified,Public reuse OK,'We built brand and web for AMS Energy Solutions.',Prior public attribution stands,KEEP.
Highlands Energy,"/portfolio/case-studies/highlands-energy{,-video}.html",Video-forward delivery,Client,2026-08-14,Verified,Public reuse OK,'We produced video for Highlands Energy.',Prior public attribution stands,KEEP.
Hope Now For Youth,"/portfolio/case-studies/hope-now-for-youth{,-branding,-video}.html",Non-profit delivery,Client,2026-08-14,Verified,Public reuse OK,'We built brand + video for Hope Now For Youth.',Prior public attribution stands,KEEP.
Ivory Pools,"/portfolio/case-studies/ivory-pools{,-branding,-video,-website}.html",Multi-discipline,Client,2026-08-14,Verified structural,Public reuse OK,Discipline-level 'we built' wording,Prior public attribution stands,KEEP.
El Camino Del Mar,"/portfolio/case-studies/el-camino-del-mar{,-marketing,-strategy,-video}.html",Multi-discipline,Client,2026-08-14,Verified,Public reuse OK,'We shipped marketing/video/strategy for El Camino Del Mar.',Prior public attribution stands,KEEP — 'strategy' sub-URL retained for SEO; content reframed as consulting/planning rather than a public 'Strategy Sprint' offer.
Evergreen Island,"/portfolio/case-studies/evergreen-island{,-marketing,-strategy,-video}.html",Multi-discipline,Client,2026-08-14,Verified,Public reuse OK,'We shipped marketing/video/strategy for Evergreen Island.',Prior public attribution stands,KEEP — same 'strategy' sub-URL note as above.
Fresno Financial Advisors,/portfolio/case-studies/fresno-financial-advisors.html,Video-forward delivery,Client,2026-08-14,Verified,Public reuse OK,'We produced video for Fresno Financial Advisors.',Prior public attribution stands,KEEP.
Four C's Construction,/portfolio/case-studies/four-cs-construction.html,Video-forward delivery,Client,2026-08-14,Verified,Public reuse OK,'We produced video for Four C''s Construction.',Prior public attribution stands,KEEP.
Plan Grow Lead,"/portfolio/case-studies/plan-grow-lead{,-branding}.html",Brand delivery,Client,2026-08-14,Verified,Public reuse OK,'We built brand identity for Plan Grow Lead.',Prior public attribution stands,KEEP.
Life OS,/portfolio/case-studies/life-os.html,Own operating-system product,Own asset,2026-08-14,Verified,Own asset,'Life OS is Revelation''s internal operating system.',Not required,KEEP; do not imply a public self-service Reviii API.
Revelation Portal,/portfolio/case-studies/revelation-portal.html,Own portal product,Own asset,2026-08-14,Verified,Own asset,'The Revelation Portal is our internal client-and-project surface.',Not required,KEEP; do not imply public self-service.
