"recordKey","route","project","pageKind","primaryDiscipline","disciplines","pillars","aiAutomation","mappingRationale"
"caseStudy:/portfolio/case-studies/ams-energy-solutions-branding.html","/portfolio/case-studies/ams-energy-solutions-branding.html","AMS Energy Solutions","caseStudyDiscipline","B1","B1","Branding","false","The -branding route deterministically maps the legacy Brand Identity detail to B1."
"caseStudy:/portfolio/case-studies/ams-energy-solutions-website.html","/portfolio/case-studies/ams-energy-solutions-website.html","AMS Energy Solutions","caseStudyDiscipline","B2","B2","Branding","false","The -website route deterministically maps the legacy website detail to B2."
"caseStudy:/portfolio/case-studies/ams-energy-solutions.html","/portfolio/case-studies/ams-energy-solutions.html","AMS Energy Solutions","caseStudyOverview","B1","B1;B2;B4","Branding","false","Audited master-project mapping consolidates brand identity, website, and visual-content work."
"caseStudy:/portfolio/case-studies/bill-gerard-coaching-branding.html","/portfolio/case-studies/bill-gerard-coaching-branding.html","Bill Gerard Coaching","caseStudyDiscipline","B1","B1","Branding","false","The -branding route deterministically maps the legacy Brand Identity detail to B1."
"caseStudy:/portfolio/case-studies/bill-gerard-coaching.html","/portfolio/case-studies/bill-gerard-coaching.html","Bill Gerard Coaching","caseStudyOverview","B1","B1;B2","Branding","false","Audited master-project mapping consolidates brand identity and website work."
"caseStudy:/portfolio/case-studies/el-camino-del-mar-marketing.html","/portfolio/case-studies/el-camino-del-mar-marketing.html","El Camino Del Mar","caseStudyDiscipline","S4","S4","Sales","false","The -marketing route is evidenced as paid or digital advertising and maps to S4 Conversion Advertising."
"caseStudy:/portfolio/case-studies/el-camino-del-mar-strategy.html","/portfolio/case-studies/el-camino-del-mar-strategy.html","El Camino Del Mar","caseStudyDiscipline","S2","S2;S3","Sales","true","Explicit strategy-page audit maps the automation work to CRM infrastructure and follow-up or nurture, with AI as cross-cutting."
"caseStudy:/portfolio/case-studies/el-camino-del-mar-video.html","/portfolio/case-studies/el-camino-del-mar-video.html","El Camino Del Mar","caseStudyDiscipline","B4","B4","Branding","false","The -video route deterministically maps the legacy video-production detail to B4."
"caseStudy:/portfolio/case-studies/el-camino-del-mar.html","/portfolio/case-studies/el-camino-del-mar.html","El Camino Del Mar","caseStudyOverview","B4","B4;S1;S2;S3;S4","Branding;Sales","true","Audited master-project mapping spans visual content, lead generation, CRM, nurture, and conversion advertising; AI is cross-cutting."
"caseStudy:/portfolio/case-studies/evergreen-island-marketing.html","/portfolio/case-studies/evergreen-island-marketing.html","Evergreen Island","caseStudyDiscipline","S4","S4","Sales","false","The -marketing route is evidenced as paid or digital advertising and maps to S4 Conversion Advertising."
"caseStudy:/portfolio/case-studies/evergreen-island-strategy.html","/portfolio/case-studies/evergreen-island-strategy.html","Evergreen Island","caseStudyDiscipline","S2","S2;S3","Sales","true","Explicit strategy-page audit maps the automation work to CRM infrastructure and follow-up or nurture, with AI as cross-cutting."
"caseStudy:/portfolio/case-studies/evergreen-island-video.html","/portfolio/case-studies/evergreen-island-video.html","Evergreen Island","caseStudyDiscipline","B4","B4","Branding","false","The -video route deterministically maps the legacy video-production detail to B4."
"caseStudy:/portfolio/case-studies/evergreen-island.html","/portfolio/case-studies/evergreen-island.html","Evergreen Island","caseStudyOverview","B4","B4;S1;S2;S3;S4","Branding;Sales","true","Audited master-project mapping spans visual content, lead generation, CRM, nurture, and conversion advertising; AI is cross-cutting."
